order_id,id,parent_id,amount,error_code,kind,status,created_at
7675398239.00,8330669343.00,,44.57,,authorization,success,8/21/2016
7675398239.00,8331258783.00,8330669343,0.00,,void,success,8/21/2016
7676331935.00,8331688479.00,,124.55,,authorization,success,8/21/2016
7676363167.00,8331722975.00,,97.68,,authorization,success,8/21/2016
7676539359.00,8331919391.00,,131.10,,authorization,success,8/21/2016
7676549855.00,8331930399.00,,91.12,,authorization,success,8/21/2016
7676553055.00,8331934431.00,,75.00,,authorization,success,8/21/2016
7676564127.00,8331948191.00,,94.40,,authorization,success,8/22/2016
7676566815.00,8331950623.00,,34.31,,authorization,success,8/22/2016
7676582495.00,8331968735.00,,168.00,,authorization,success,8/22/2016
7676594463.00,8331969951.00,,108.60,incorrect_zip,authorization,failure,8/22/2016
7676594463.00,8331976287.00,,108.60,incorrect_zip,authorization,failure,8/22/2016
7676590623.00,8331978399.00,,56.16,,authorization,success,8/22/2016
7676594463.00,8331982559.00,,108.60,,authorization,success,8/22/2016
7676602079.00,8331991775.00,,114.71,,authorization,success,8/22/2016
7676610719.00,8332001311.00,,34.31,,authorization,success,8/22/2016
7676620191.00,8332012127.00,,45.24,,authorization,success,8/22/2016
7676629791.00,8332022559.00,,56.16,,authorization,success,8/22/2016
7676633503.00,8332026079.00,,112.97,,authorization,success,8/22/2016
7676633695.00,8332026335.00,,78.01,,authorization,success,8/22/2016
7676636959.00,8332029919.00,,121.27,,authorization,success,8/22/2016
7676638943.00,8332032351.00,,145.00,,authorization,success,8/22/2016
7676641375.00,8332035295.00,,34.31,,authorization,success,8/22/2016
7676649887.00,8332045343.00,,45.24,,authorization,success,8/22/2016
7676657695.00,8332054239.00,,32.00,,authorization,success,8/22/2016
385469912573.00,436968429053.00,,138.00,,sale,success,3/26/2017
7676658079.00,8332054815.00,,132.00,,authorization,success,8/22/2016
7676672351.00,8332072735.00,,45.24,,authorization,success,8/22/2016
7676906399.00,8332078623.00,,157.97,,authorization,failure,8/22/2016
7676689567.00,8332092511.00,,34.31,,authorization,success,8/22/2016
7676695775.00,8332099103.00,,61.63,,authorization,success,8/22/2016
7676711455.00,8332116639.00,,151.86,,authorization,success,8/22/2016
7676713759.00,8332119071.00,,113.62,,authorization,success,8/22/2016
7676717215.00,8332122847.00,,168.25,,authorization,success,8/22/2016
7676724895.00,8332131359.00,,138.70,,authorization,success,8/22/2016
7676727455.00,8332135455.00,,113.62,,authorization,success,8/22/2016
7676824287.00,8332252767.00,,133.29,,authorization,success,8/22/2016
7676870751.00,8332308639.00,,100.00,,authorization,success,8/22/2016
7676880287.00,8332320415.00,,52.00,,authorization,success,8/22/2016
7676882847.00,8332323295.00,,210.97,,authorization,success,8/22/2016
7676905311.00,8332351583.00,,56.16,,authorization,success,8/22/2016
7676906399.00,8332352991.00,,157.97,,authorization,success,8/22/2016
7676928287.00,8332379359.00,,67.00,,authorization,success,8/22/2016
